url,firmname
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(安徽鑫龙电器股份有限公司)&type=14&s=0&law=2&v=l&page=,安徽鑫龙电器股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(深圳市齐心文具股份有限公司)&type=14&s=0&law=2&v=l&page=,深圳市齐心文具股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(深圳市美盈森环保科技股份有限公司)&type=14&s=0&law=2&v=l&page=,深圳市美盈森环保科技股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(广东威创视讯科技股份有限公司)&type=14&s=0&law=2&v=l&page=,广东威创视讯科技股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(中利科技集团股份有限公司)&type=14&s=0&law=2&v=l&page=,中利科技集团股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(广东海大集团股份有限公司)&type=14&s=0&law=2&v=l&page=,广东海大集团股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(成都三泰电子实业股份有限公司)&type=14&s=0&law=2&v=l&page=,成都三泰电子实业股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(深圳日海通讯技术股份有限公司)&type=14&s=0&law=2&v=l&page=,深圳日海通讯技术股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(雅致集成房屋股份有限公司)&type=14&s=0&law=2&v=l&page=,雅致集成房屋股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(浙江久立特材科技股份有限公司)&type=14&s=0&law=2&v=l&page=,浙江久立特材科技股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(珠海市乐通化工股份有限公司)&type=14&s=0&law=2&v=l&page=,珠海市乐通化工股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(河南华英农业发展股份有限公司)&type=14&s=0&law=2&v=l&page=,河南华英农业发展股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(宁波理工监测科技股份有限公司)&type=14&s=0&law=2&v=l&page=,宁波理工监测科技股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(深圳市洪涛装饰股份有限公司)&type=14&s=0&law=2&v=l&page=,深圳市洪涛装饰股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(深圳市富安娜家居用品股份有限公司)&type=14&s=0&law=2&v=l&page=,深圳市富安娜家居用品股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(山东得利斯食品股份有限公司)&type=14&s=0&law=2&v=l&page=,山东得利斯食品股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(深圳市英威腾电气股份有限公司)&type=14&s=0&law=2&v=l&page=,深圳市英威腾电气股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(天津赛象科技股份有限公司)&type=14&s=0&law=2&v=l&page=,天津赛象科技股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(巨力索具股份有限公司)&type=14&s=0&law=2&v=l&page=,巨力索具股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(广东潮宏基实业股份有限公司)&type=14&s=0&law=2&v=l&page=,广东潮宏基实业股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(泰尔重工股份有限公司)&type=14&s=0&law=2&v=l&page=,泰尔重工股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(北京科锐配电自动化股份有限公司)&type=14&s=0&law=2&v=l&page=,北京科锐配电自动化股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(马鞍山鼎泰稀土新材料股份有限公司)&type=14&s=0&law=2&v=l&page=,马鞍山鼎泰稀土新材料股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(烟台杰瑞石油服务集团股份有限公司)&type=14&s=0&law=2&v=l&page=,烟台杰瑞石油服务集团股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(河南森源电气股份有限公司)&type=14&s=0&law=2&v=l&page=,河南森源电气股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(山东齐星铁塔科技股份有限公司)&type=14&s=0&law=2&v=l&page=,山东齐星铁塔科技股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(山西同德化工股份有限公司)&type=14&s=0&law=2&v=l&page=,山西同德化工股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(汉王科技股份有限公司)&type=14&s=0&law=2&v=l&page=,汉王科技股份有限公司
