"","city1_2","flight","plane","flag"
"4060","南昌广州","CZ3546","319",3237
"4061","南昌广州","CZ3626","319",3237
"4062","南昌广州","MU5231","320",3237
"4063","南昌广州","CZ3626","319",3237
"4064","南昌贵阳","RY8911","738",1441
"4065","南昌贵阳","MU9991","738",1441
"4066","南昌海口","JD5324","319",10478
"4067","南昌海口","HU7072","738",10478
"4068","南昌海口","HU7310","738",10478
"4069","南昌海口","HU7072","738",10478
"4070","南昌海口","HU7310","738",10478
"4071","南昌海口","RY8915","738",10478
"4072","南昌海口","JD5322","319",10478
"4073","南昌合肥","JR1509","MA6",7401
"4074","南昌济南","SC4966","738",6316
"4075","南昌济南","RY8923","738",6316
"4076","南昌济南","SC4966","738",6316
"4077","南昌昆明","KY8308","73G",6369
"4078","南昌昆明","MU5617","320",6369
"4079","南昌昆明","MU5617","320",6369
"4080","南昌昆明","KY8308","73G",6369
"4081","南昌昆明","MU5469","320",6369
"4082","南昌昆明","3U8824","320",6369
"4083","南昌昆明","MU5617","320",6369
"4084","南昌昆明","3U8824","320",6369
"4085","南昌昆明","3U8824","320",6369
"4086","南昌昆明","ZH9377","320",6369
"4087","南昌丽江","3U8578","319",22859
"4088","南昌南京","CZ6582","319",1893
"4089","南昌青岛","CZ6348","320",1993
"4090","南昌青岛","CZ6348","319",1993
"4091","南昌青岛","CZ6348","320",1993
"4092","南昌三亚","HU7854","737",22868
"4093","南昌厦门","RY8917","738",3924
"4094","南昌深圳","CZ6968","321",9153
"4095","南昌深圳","CZ3618","319",9153
"4096","南昌深圳","CZ3618","319",9153
"4097","南昌深圳","CZ6968","321",9153
"4098","南昌深圳","CZ6968","321",9153
"4099","南昌深圳","ZH9870","738",9153
"4100","南昌深圳","MU5261","320",9153
"4101","南昌深圳","MF8309","738",9153
"4102","南昌深圳","ZH9884","320",9153
"4103","南昌深圳","ZH9884","320",9153
"4104","南昌深圳","ZH9870","738",9153
"4105","南昌深圳","CZ6968","321",9153
"4106","南昌深圳","CZ6968","321",9153
"4107","南昌太原","RY8929","738",12495
"4108","南昌天津","RY8921/2","738",7671
"4109","南昌天津","RY8919/20","738",7671
"4110","南昌西安","RY8939","738",71
"4111","南昌西安","MU2239","320",71
"4112","南昌西安","HU7644","734",71
"4113","南昌西安","MU2210","320",71
"4114","南昌郑州","GS6606","E90",9899
"4115","南昌郑州","GS6606","E90",9899
"4116","南昌重庆","3U8006","321",1187
"4117","南昌重庆","3U8960","321",1187
"4118","南昌重庆","ZH9373","320",1187
"4119","南昌重庆","MF8259","738",1187
"4120","南昌重庆","PN6256","319",1187
"4121","南昌重庆","PN6256","319",1187
"4122","南昌重庆","PN6256","319",1187
"4123","南昌珠海","RY8913","738",9712
"4124","南昌珠海","MU5391","320",9712
"4125","南充广州","CZ3430","319",21794
"4126","南充深圳","CZ6550","320",13120
"4127","南充深圳","CZ6970","320",13120
"4128","南充深圳","CZ6970","320",13120
"4129","南充深圳","CZ6970","320",13120
"4130","南京包头","MU7805/6","320",9829
"4131","南京成都","MU5595","320",5745
"4132","南京成都","EU2760","319",5745
"4133","南京成都","MU5595","320",5745
"4134","南京成都","3U8994","321",5745
"4135","南京成都","3U8924","320",5745
"4136","南京成都","TV9840","319",5745
"4137","南京成都","ZH9213","738",5745
"4138","南京成都","CA4506","321",5745
"4139","南京成都","MU2805","320",5745
"4140","南京大理","MU9710","73G",24818
"4141","南京大连","HO1657","320",1269
"4142","南京大连","CZ6538","320",1269
"4143","南京大连","ZH9275","738",1269
"4144","南京大连","CZ6538","320",1269
"4145","南京大连","MU2791","320",1269
"4146","南京大同","MU7811/2","320",19865
"4147","南京鄂尔多斯","KN2816","738",17013
"4148","南京福州","ZH9279","738",6020
"4149","南京福州","FU6576","738",6020
"4150","南京福州","PN6323","319",6020
"4151","南京广州","CZ3698","319",5375
"4152","南京广州","FM9357","738",5375
"4153","南京广州","CZ3508","319",5375
"4154","南京广州","ZH9618","738",5375
"4155","南京广州","MU2807","320",5375
"4156","南京广州","CZ3822","319",5375
"4157","南京广州","HU7214","738",5375
"4158","南京广州","CZ3600","319",5375
"4159","南京广州","ZH9622","320",5375
"4160","南京广州","HU7114","738",5375
"4161","南京广州","ZH9709","738",5375
"4162","南京广州","CZ3514","319",5375
"4163","南京广州","FM9355","738",5375
"4164","南京广州","CZ3508","319",5375
"4165","南京广州","CZ3700","319",5375
"4166","南京广州","ZH9626","738",5375
"4167","南京广州","CZ3872","319",5375
"4168","南京贵阳","ZH9229","738",1473
"4169","南京贵阳","AQ1069","738",1473
"4170","南京贵阳","JD5291","319",1473
"4171","南京贵阳","CZ8406","738",1473
"4172","南京贵阳","AQ1069/70","738",1473
"4173","南京贵阳","ZH9281","738",1473
"4174","南京贵阳","PN6296","319",1473
"4175","南京贵阳","ZH9215","738",1473
"4176","南京贵阳","HO1679/80","320",1473
"4177","南京贵阳","HO1661","320",1473
"4178","南京贵阳","HO1661/2","320",1473
"4179","南京桂林","ZH9237","738",8937
"4180","南京桂林","JD5798","319",8937
"4181","南京桂林","MU2737","320",8937
"4182","南京桂林","CZ3254","73G",8937
"4183","南京桂林","JD5698","319",8937
"4184","南京哈尔滨","MU2711","320",2
"4185","南京海口","JD5336","319",1512
"4186","南京海口","MU2847","320",1512
"4187","南京海口","HU7210","738",1512
"4188","南京海口","HU7210","738",1512
"4189","南京昆明","KY8204","73G",1773
"4190","南京昆明","MU5792","738",1773
"4191","南京昆明","MU5790","738",1773
"4192","南京昆明","MU2729","319",1773
"4193","南京昆明","BK2716","737",1773
"4194","南京昆明","ZH9651","738",1773
"4195","南京昆明","8L9884","73G",1773
"4196","南京昆明","MU2719","319",1773
"4197","南京兰州","MU2749","320",8977
"4198","南京兰州","HU7366","738",8977
"4199","南京兰州","MU2448","320",8977
"4200","南京丽江","8L9836","73G",20754
"4201","南京丽江","JD5250","319",20754
"4202","南京泸州","8L9654","73G",23119
"4203","南京绵阳","HO1673","320",23136
"4204","南京绵阳","TV9888","319",23136
"4205","南京绵阳","3U8534","319",23136
"4206","南京南昌","MU2755","320",1893
"4207","南京南昌","MU2755","320",1893
"4208","南京南昌","MU2775","320",1893
"4209","南京南宁","CZ6206","738",3429
"4210","南京南宁","ZH9540","738",3429
"4211","南京南宁","MU2757","320",3429
"4212","南京南宁","HO1663","320",3429
"4213","南京南宁","AQ1036","738",3429
"4214","南京南宁","CZ6206","738",3429
"4215","南京青岛","HO1653","320",2026
"4216","南京青岛","GS6438","E90",2026
"4217","南京青岛","HO1653","320",2026
"4218","南京青岛","SC8730","738",2026
"4219","南京泉州","MF8538","738",18325
"4220","南京泉州","MF8538","738",18325
"4221","南京三亚","JD5126","319",10832
"4222","南京三亚","HU7772","738",10832
"4223","南京三亚","3U8846","320",10832
"4224","南京厦门","HO1675","320",3976
"4225","南京厦门","MF8508","738",3976
"4226","南京厦门","MF8566","738",3976
"4227","南京厦门","MF8566","738",3976
"4228","南京厦门","MU2809","320",3976
"4229","南京厦门","MU2849","320",3976
"4230","南京厦门","MU2849","320",3976
"4231","南京厦门","MU2839","320",3976
"4232","南京厦门","MF8566","738",3976
"4233","南京厦门","SC4704","738",3976
"4234","南京深圳","ZH9878","738",11892
"4235","南京深圳","MU2887","320",11892
"4236","南京深圳","MU2857","320",11892
"4237","南京深圳","ZH9718","738",11892
"4238","南京深圳","ZH9708","738",11892
"4239","南京深圳","CZ3828","320",11892
"4240","南京深圳","PN6298","319",11892
"4241","南京深圳","HU7764","738",11892
"4242","南京深圳","CZ3578","320",11892
"4243","南京深圳","ZH9738","738",11892
"4244","南京深圳","HU7664","738",11892
"4245","南京深圳","ZH9866","738",11892
"4246","南京深圳","ZH9768","738",11892
"4247","南京深圳","CZ3560","321",11892
"4248","南京深圳","ZH9768","738",11892
"4249","南京深圳","HO1655","320",11892
