"","flight","plane","city1","city2","city3","city4","city5","city1_2"
"599","GS6602","E90","哈尔滨","海拉尔","呼和浩特",NA,NA,"哈尔滨海拉尔"
"600","GS6605","E90","呼和浩特","郑州","南昌",NA,NA,"呼和浩特郑州"
"601","GS6605","E90","呼和浩特","郑州","南昌",NA,NA,"呼和浩特郑州"
"602","GS6606","E90","南昌","郑州","呼和浩特",NA,NA,"南昌郑州"
"603","GS6606","E90","南昌","郑州","呼和浩特",NA,NA,"南昌郑州"
"604","GS6607","E90","呼和浩特","青岛","杭州",NA,NA,"呼和浩特青岛"
"605","GS6607","E90","呼和浩特","青岛","杭州",NA,NA,"呼和浩特青岛"
"606","GS6608","E90","杭州","青岛","呼和浩特",NA,NA,"杭州青岛"
"613","GS6617","E90","呼和浩特","锡林浩特","大连",NA,NA,"呼和浩特锡林浩特"
"614","GS6618","E90","大连","锡林浩特","呼和浩特",NA,NA,"大连锡林浩特"
"617","GS6625","E90","呼和浩特","临沂","宁波",NA,NA,"呼和浩特临沂"
"618","GS6626","E90","宁波","临沂","呼和浩特",NA,NA,"宁波临沂"
"619","GS6633","E90","呼和浩特","乌兰浩特","沈阳",NA,NA,"呼和浩特乌兰浩特"
"620","GS6634","E90","沈阳","乌兰浩特","呼和浩特",NA,NA,"沈阳乌兰浩特"
"625","GS6645","E90","呼和浩特","巴彦淖尔","西安",NA,NA,"呼和浩特巴彦淖尔"
"626","GS6646","E90","西安","巴彦淖尔","呼和浩特",NA,NA,"西安巴彦淖尔"
"627","GS6657","E90","呼和浩特","天津","大连",NA,NA,"呼和浩特天津"
"628","GS6658","E90","大连","天津","呼和浩特",NA,NA,"大连天津"
"647","GS7605","E90","西安","呼和浩特","海拉尔",NA,NA,"西安呼和浩特"
"648","GS7606","E90","海拉尔","呼和浩特","西安",NA,NA,"海拉尔呼和浩特"
"649","GS7639","E90","西安","天津","锡林浩特",NA,NA,"西安天津"
"650","GS7640","E90","锡林浩特","天津","西安",NA,NA,"锡林浩特天津"
"651","GS7809","E90","天津","南昌","桂林",NA,NA,"天津南昌"
"652","GS7809","E90","天津","南昌","桂林",NA,NA,"天津南昌"
"653","GS7810","E90","桂林","南昌","天津",NA,NA,"桂林南昌"
"654","GS7810","E90","桂林","南昌","天津",NA,NA,"桂林南昌"
"655","GS7817","E90","天津","阜阳","厦门",NA,NA,"天津阜阳"
"656","GS7818","E90","厦门","阜阳","天津",NA,NA,"厦门阜阳"
"657","GS7819","E90","天津","长沙","遵义",NA,NA,"天津长沙"
"658","GS7820","E90","遵义","长沙","天津",NA,NA,"遵义长沙"
"659","GS7825","E90","天津","银川","兰州",NA,NA,"天津银川"
"660","GS7826","E90","兰州","银川","天津",NA,NA,"兰州银川"
"661","GS7827","E90","天津","鄂尔多斯","乌鲁木齐",NA,NA,"天津鄂尔多斯"
"662","GS7827","E90","天津","鄂尔多斯","乌鲁木齐",NA,NA,"天津鄂尔多斯"
"663","GS7828","E90","乌鲁木齐","鄂尔多斯","天津",NA,NA,"乌鲁木齐鄂尔多斯"
"664","GS7828","E90","乌鲁木齐","鄂尔多斯","天津",NA,NA,"乌鲁木齐鄂尔多斯"
"665","GS7828","E90","乌鲁木齐","鄂尔多斯","天津",NA,NA,"乌鲁木齐鄂尔多斯"
"666","GS7835","E90","天津","通辽","乌兰浩特",NA,NA,"天津通辽"
"667","GS7836","E90","乌兰浩特","通辽","天津",NA,NA,"乌兰浩特通辽"
"668","GS7841","E90","天津","郑州","梅州",NA,NA,"天津郑州"
"669","GS7842","E90","梅州","郑州","天津",NA,NA,"梅州郑州"
"670","GS7843","E90","天津","十堰","武汉",NA,NA,"天津十堰"
"671","GS7843","E90","天津","十堰","武汉",NA,NA,"天津十堰"
"672","GS7844","E90","武汉","十堰","天津",NA,NA,"武汉十堰"
"673","GS7844","E90","武汉","十堰","天津",NA,NA,"武汉十堰"
"674","GS7853","E90","天津","杭州","揭阳",NA,NA,"天津杭州"
"675","GS7854","E90","揭阳","杭州","天津",NA,NA,"揭阳杭州"
"676","GS7854","E90","揭阳","杭州","天津",NA,NA,"揭阳杭州"
"677","GS7867","E90","天津","扬州","海口",NA,NA,"天津扬州"
"678","GS7868","E90","海口","扬州","天津",NA,NA,"海口扬州"
"679","GS7868","E90","海口","扬州","天津",NA,NA,"海口扬州"
"680","GS7915","E90","天津","赤峰","海拉尔",NA,NA,"天津赤峰"
"681","GS7916","E90","海拉尔","赤峰","天津",NA,NA,"海拉尔赤峰"
"686","GS7929","E90","天津","西安","贵阳",NA,NA,"天津西安"
"699","NS3233","E90","石家庄","合肥","桂林",NA,NA,"石家庄合肥"
"700","NS3234","E90","桂林","合肥","石家庄",NA,NA,"桂林合肥"
"701","NS3237","E90","石家庄","呼和浩特","海拉尔",NA,NA,"石家庄呼和浩特"
"702","NS3237","E90","石家庄","呼和浩特","海拉尔",NA,NA,"石家庄呼和浩特"
"703","NS3238","E90","海拉尔","呼和浩特","石家庄",NA,NA,"海拉尔呼和浩特"
"704","NS3238","E90","海拉尔","呼和浩特","石家庄",NA,NA,"海拉尔呼和浩特"
"709","NS3245","E90","石家庄","呼和浩特","满洲里",NA,NA,"石家庄呼和浩特"
"710","NS3246","E90","满洲里","呼和浩特","石家庄",NA,NA,"满洲里呼和浩特"
"711","NS3249","E90","石家庄","合肥","北海",NA,NA,"石家庄合肥"
"712","NS3249","E90","石家庄","合肥","北海",NA,NA,"石家庄合肥"
"713","NS3250","E90","北海","合肥","石家庄",NA,NA,"北海合肥"
"714","NS3250","E90","北海","合肥","石家庄",NA,NA,"北海合肥"
"725","NS3261","E90","张家口","石家庄","厦门",NA,NA,"张家口石家庄"
"726","NS3262","E90","厦门","石家庄","张家口",NA,NA,"厦门石家庄"
"731","NS3275","E90","石家庄","南通","温州",NA,NA,"石家庄南通"
