No,Treated,classify,持股集中度2013.6,持股集中度2013.12,持股集中度2014.6,持股集中度2014.12,持股集中度2015.6,持股集中度2015.12,持股集中度2016.6,持股集中度2016.12,持股集中度2017.6,持股集中度2017.12
205819034445,0,1,61.10%,82.48%,21.81%,64.06%,12.86%,35.14%,46.81%,0.00%,4.83%,0.00%
208518000120,0,1,21.02%,0.00%,27.65%,68.41%,0.00%,15.50%,17.14%,24.35%,51.97%,71.12%
205818603473,0,1,9.87%,26.16%,0.00%,0.00%,56.87%,61.27%,74.18%,74.94%,13.08%,14.48%
205818946848,0,1,64.61%,0.00%,23.94%,15.28%,21.52%,0.00%,87.23%,68.77%,7.12%,49.02%
205819034930,0,1,0.00%,0.00%,2.39%,78.71%,42.16%,20.01%,33.92%,41.42%,45.32%,82.83%
207000012238,0,1,0.00%,0.00%,70.20%,23.84%,42.47%,43.32%,77.27%,57.70%,43.63%,37.02%
205819036042,0,1,0.00%,0.00%,80.34%,30.24%,39.58%,43.54%,43.19%,35.15%,61.54%,64.00%
205819002730,0,1,62.58%,82.48%,55.73%,89.41%,39.66%,38.71%,11.06%,51.00%,0.00%,0.00%
205819027260,0,1,0.00%,50.72%,0.00%,99.67%,57.04%,85.02%,31.69%,57.48%,25.09%,0.20%
205818704970,0,1,58.99%,23.81%,0.00%,46.54%,24.25%,0.00%,61.24%,75.33%,57.22%,56.17%
205819028541,0,1,96.27%,96.00%,95.70%,63.66%,9.41%,0.00%,0.00%,80.44%,21.21%,11.15%
205819003485,0,1,72.15%,46.40%,87.99%,80.10%,49.97%,23.01%,68.85%,83.08%,0.00%,0.00%
205819035902,0,1,0.00%,0.00%,99.56%,48.82%,51.62%,58.26%,74.95%,98.62%,60.67%,99.95%
205819023407,0,1,61.47%,65.00%,67.33%,73.46%,27.92%,51.37%,81.16%,94.37%,0.00%,0.00%
205818984708,0,1,49.14%,53.92%,51.68%,51.98%,75.68%,49.54%,99.83%,99.91%,0.00%,0.00%
205818993418,0,1,99.92%,99.93%,0.00%,0.00%,58.88%,26.35%,50.12%,54.80%,57.18%,58.79%
205819013418,0,1,0.00%,58.13%,98.64%,0.00%,3.12%,99.59%,97.44%,33.74%,27.31%,95.59%
205818975638,0,1,40.16%,34.85%,65.78%,0.00%,80.19%,42.48%,73.36%,84.36%,0.00%,99.61%
205818947339,0,1,98.53%,0.00%,0.00%,70.60%,43.76%,73.86%,70.90%,19.05%,72.59%,81.32%
205819035857,0,1,0.00%,0.00%,42.54%,99.89%,99.99%,99.95%,55.27%,83.07%,78.10%,98.79%
205818003789,0,1,0.00%,99.83%,99.78%,57.94%,0.00%,83.87%,99.29%,60.85%,56.76%,94.68%
205819021119,0,1,86.70%,85.93%,85.15%,87.46%,0.00%,70.37%,0.00%,60.54%,51.50%,92.37%
205818999099,0,1,90.06%,99.69%,97.82%,98.13%,89.33%,99.35%,56.81%,97.83%,0.00%,0.00%
205819780717,0,1,0.00%,0.00%,95.07%,99.91%,99.99%,74.65%,96.93%,73.84%,78.30%,93.68%
205818939688,0,1,100.00%,0.00%,0.00%,99.95%,99.38%,99.99%,94.08%,96.55%,99.98%,99.56%
205819000006,0,0,45.74%,31.81%,29.93%,56.22%,84.28%,0.00%,10.81%,11.37%,25.52%,0.00%
205818956818,0,0,0.00%,0.00%,61.78%,39.32%,17.57%,28.82%,45.76%,44.41%,47.26%,53.61%
205819035757,0,0,0.00%,99.77%,59.85%,55.46%,54.25%,0.00%,17.44%,17.53%,69.70%,72.43%
205818930449,0,0,39.05%,93.06%,39.44%,0.00%,0.00%,67.16%,40.45%,99.96%,69.97%,55.43%
205819001066,0,0,99.19%,0.00%,0.00%,44.09%,64.88%,20.13%,43.00%,86.64%,77.22%,79.36%
208518000537,0,0,0.00%,0.00%,94.84%,94.94%,64.18%,83.22%,87.03%,87.55%,89.44%,89.32%
205819023313,0,1,99.06%,99.14%,99.22%,99.38%,0.00%,0.00%,17.48%,16.00%,7.45%,14.13%
205819029380,0,1,81.83%,82.05%,82.26%,63.84%,30.40%,55.72%,23.28%,27.17%,0.00%,0.00%
