,flight,plane,city1,city2,city3,city4,city5,city1_2
402,CA1751,319,杭州,贵阳,昆明,NA,NA,杭州贵阳
404,CA1755/6,319,杭州,昆明,杭州,NA,NA,杭州昆明
405,CA1759/60,319,杭州,重庆,杭州,NA,NA,杭州重庆
406,CA1761/2,319,杭州,重庆,杭州,NA,NA,杭州重庆
408,CA1765/6,319,杭州,大连,杭州,NA,NA,杭州大连
409,CA1769/70,319,杭州,重庆,杭州,NA,NA,杭州重庆
410,CA1771/2,319,杭州,北海,杭州,NA,NA,杭州北海
411,CA1773/4,319,杭州,广元,杭州,NA,NA,杭州广元
414,CA1793/4,319,杭州,呼和浩特,杭州,NA,NA,杭州呼和浩特
415,CA1961/2,319,上海浦东,青岛,上海浦东,NA,NA,上海浦东青岛
416,CA1965/6,319,温州,上海浦东,温州,NA,NA,温州上海浦东
417,CA1967/8,319,温州,上海浦东,温州,NA,NA,温州上海浦东
423,JD5157/8,319,杭州,昆明,杭州,NA,NA,杭州昆明
424,JD5297/8,319,杭州,丽江,杭州,NA,NA,杭州丽江
425,JD5610/09,319,海口,温州,海口,NA,NA,海口温州
426,MU5170/71,319,合肥,黄山,合肥,NA,NA,合肥黄山
427,MU5339/40,319,南昌,海口,南昌,NA,NA,南昌海口
428,MU5449/50,319,济南,成都,济南,NA,NA,济南成都
429,MU5449/50,319,济南,成都,济南,NA,NA,济南成都
430,MU5449/50,319,济南,成都,济南,NA,NA,济南成都
431,MU5455/6,319,济南,乌鲁木齐,济南,NA,NA,济南乌鲁木齐
432,MU5455/6,319,济南,乌鲁木齐,济南,NA,NA,济南乌鲁木齐
441,MU5563/4,319,上海浦东,厦门,上海浦东,NA,NA,上海浦东厦门
446,MU5631/2,319,上海浦东,福州,上海浦东,NA,NA,上海浦东福州
449,3U8595/6,320,常州,桂林,常州,NA,NA,常州桂林
450,3U8595/6,320,常州,桂林,常州,NA,NA,常州桂林
451,3U8597/8,320,常州,张家界,常州,NA,NA,常州张家界
452,3U8597/8,320,常州,张家界,常州,NA,NA,常州张家界
453,3U8663/4,320,杭州,大连,杭州,NA,NA,杭州大连
454,3U8821,320,杭州,重庆,西宁,NA,NA,杭州重庆
455,3U8821,320,杭州,重庆,西宁,NA,NA,杭州重庆
456,3U8822,320,西宁,重庆,杭州,NA,NA,西宁重庆
457,3U8822,320,西宁,重庆,杭州,NA,NA,西宁重庆
463,9C8807/8,320,上海虹桥,厦门,上海虹桥,NA,NA,上海虹桥厦门
466,9C8821/2,320,上海浦东,青岛,上海浦东,NA,NA,上海浦东青岛
469,9C8837/8,320,上海虹桥,厦门,上海虹桥,NA,NA,上海虹桥厦门
472,9C8853/4,320,上海虹桥,青岛,上海虹桥,NA,NA,上海虹桥青岛
473,9C8863/4,320,上海虹桥,厦门,上海虹桥,NA,NA,上海虹桥厦门
474,9C8919/20,320,杭州,沈阳,杭州,NA,NA,杭州沈阳
475,9C8941/2,320,上海虹桥,泉州,上海虹桥,NA,NA,上海虹桥泉州
476,9C8961/2,320,上海浦东,烟台,上海浦东,NA,NA,上海浦东烟台
477,CA1731/2,320,杭州,深圳,杭州,NA,NA,杭州深圳
479,CA1754,320,昆明,贵阳,杭州,NA,NA,昆明贵阳
482,CA8201/2,320,武汉,杭州,武汉,NA,NA,武汉杭州
483,CA8201/2,320,武汉,杭州,武汉,NA,NA,武汉杭州
484,CA8201/2,320,武汉,杭州,武汉,NA,NA,武汉杭州
485,FM9277/8,320,上海虹桥,南昌,上海虹桥,NA,NA,上海虹桥南昌
486,HO1101/2,320,上海虹桥,温州,上海虹桥,NA,NA,上海虹桥温州
487,HO1105/6,320,上海浦东,青岛,上海浦东,NA,NA,上海浦东青岛
488,HO1107/8,320,上海浦东,福州,上海浦东,NA,NA,上海浦东福州
489,HO1107/8,320,上海浦东,福州,上海浦东,NA,NA,上海浦东福州
490,HO1107/8,320,上海浦东,福州,上海浦东,NA,NA,上海浦东福州
491,HO1115/6,320,上海浦东,青岛,上海浦东,NA,NA,上海浦东青岛
492,HO1141/2,320,上海浦东,温州,上海浦东,NA,NA,上海浦东温州
493,HO1141/2,320,上海浦东,温州,上海浦东,NA,NA,上海浦东温州
494,HO1141/2,320,上海浦东,温州,上海浦东,NA,NA,上海浦东温州
499,HO1173/4,320,上海浦东,东营,上海浦东,NA,NA,上海浦东东营
500,HO1189/90,320,上海浦东,厦门,上海浦东,NA,NA,上海浦东厦门
501,HO1189/90,320,上海浦东,厦门,上海浦东,NA,NA,上海浦东厦门
502,HO1189/90,320,上海浦东,厦门,上海浦东,NA,NA,上海浦东厦门
503,HO1191/2,320,上海虹桥,厦门,上海浦东,NA,NA,上海虹桥厦门
504,HO1191/2,320,上海虹桥,厦门,上海浦东,NA,NA,上海虹桥厦门
505,HO1193/4,320,上海浦东,厦门,上海虹桥,NA,NA,上海浦东厦门
507,HO1195/6,320,上海虹桥,青岛,上海虹桥,NA,NA,上海虹桥青岛
509,HO1203/4,320,上海虹桥,南昌,上海虹桥,NA,NA,上海虹桥南昌
510,HO1203/4,320,上海虹桥,南昌,上海虹桥,NA,NA,上海虹桥南昌
511,HO1205/6,320,上海浦东,南昌,上海浦东,NA,NA,上海浦东南昌
512,HO1205/6,320,上海浦东,南昌,上海浦东,NA,NA,上海浦东南昌
513,HO1213/4,320,常州,三亚,常州,NA,NA,常州三亚
514,HO1241/2,320,上海浦东,青岛,上海浦东,NA,NA,上海浦东青岛
515,HO1241/2,320,上海浦东,青岛,上海浦东,NA,NA,上海浦东青岛
516,MU2085/6,320,烟台,哈尔滨,烟台,NA,NA,烟台哈尔滨
517,MU2085/6,320,烟台,哈尔滨,烟台,NA,NA,烟台哈尔滨
518,MU2085/6,320,烟台,哈尔滨,烟台,NA,NA,烟台哈尔滨
524,MU2399/400,320,杭州,大连,杭州,NA,NA,杭州大连
525,MU2701,320,南京,青岛,哈尔滨,NA,NA,南京青岛
526,MU2702,320,哈尔滨,青岛,南京,NA,NA,哈尔滨青岛
535,MU2709,320,南京,郑州,包头,NA,NA,南京郑州
