,flight,plane,city1,city2,city3,city4,city5,remarks,flight_account,flight_num
119,BK2851/2,738,天津,成都,天津,NA,NA,NA,7,1234567
120,BK2853/4,738,天津,太原,重庆,太原,天津,NA,7,1234567
121,BK2857,738,天津,南京,泉州,NA,NA,NA,7,1234567
122,BK2858,738,泉州,南京,天津,NA,NA,NA,7,1234567
123,BK2871,738,天津,郑州,贵阳,NA,NA,执行日期0701-1029执行,3,.2.4.6.
124,BK2872,738,贵阳,郑州,天津,NA,NA,执行日期0701-1029执行,3,.2.4.6.
125,BK2879/80,738,天津,榆林,昆明,榆林,天津,执行日期：0830-1029,2,.2...6.
126,CA1105/6,738,北京首都,呼和浩特,北京首都,NA,NA,NA,7,1234567
127,CA1107/8,738,北京首都,包头,北京首都,NA,NA,NA,7,1234567
128,CA1111/2,738,北京首都,呼和浩特,北京首都,NA,NA,NA,7,1234567
129,CA1115/6,738,北京首都,呼和浩特,北京首都,NA,NA,NA,5,1234.6.
130,CA1121,738,北京首都,包头,NA,NA,NA,NA,1,...4...
131,CA1121,738,北京首都,包头,NA,NA,NA,NA,1,......7
132,CA1121/2,738,北京首都,包头,北京首都,NA,NA,NA,5,123.56.
133,CA1122,738,包头,北京首都,NA,NA,NA,NA,1,...4...
134,CA1122,738,包头,北京首都,NA,NA,NA,NA,1,......7
135,CA1135/6,738,北京首都,包头,北京首都,NA,NA,NA,7,1234567
136,CA1141/2,738,北京首都,包头,北京首都,NA,NA,NA,6,12.4567
137,CA1143/4,738,北京首都,鄂尔多斯,北京首都,NA,NA,NA,7,1234567
138,CA1145/6,738,北京首都,太原,北京首都,NA,NA,NA,2,....5.7
139,CA1145/6,738,北京首都,太原,北京首都,NA,NA,NA,5,1234.6.
140,CA1149/50,738,北京首都,鄂尔多斯,北京首都,NA,NA,NA,1,..3....
141,CA1149/50,738,北京首都,鄂尔多斯,北京首都,NA,NA,NA,4,1..4.67
142,CA1237/8,738,北京首都,运城,北京首都,NA,NA,NA,7,1234567
143,CA1251/2,738,天津,乌鲁木齐,天津,NA,NA,或73G执行 执行日期0701-1029执行,4,1.3.5.7
144,CA1251/2,738,天津,乌鲁木齐,天津,NA,NA,或73G执行 执行日期0701-1029执行,3,.2.4.6.
145,CA1253/4,738,北京首都,包头,北京首都,NA,NA,NA,7,1234567
146,CA1265/6,738,天津,西安,天津,NA,NA,或73G/733执行,5,1.3.567
147,CA1265/6,738,天津,西安,天津,NA,NA,或73G/733执行,2,.2.4...
148,CA1371/2,738,天津,深圳,天津,NA,NA,或73G/733执行 执行日期0701-1029执行,1,.2.....
149,CA1371/2,738,天津,深圳,天津,NA,NA,或73G/733执行 执行日期0701-1029执行,3,..3.5.7
150,CA1371/2,738,天津,深圳,天津,NA,NA,或73G/733执行 执行日期0701-1029执行,3,1..4.6.
151,CA1389/90,738,天津,三亚,天津,NA,NA,或73G/733执行 执行日期0327-0531执行,4,.2.456.
152,CA1389/90,738,天津,三亚,天津,NA,NA,或73G/733执行 执行日期0327-0531执行,3,1.3...7
153,CA1401/2,738,天津,昆明,天津,NA,NA,或B73G/733执行,7,1234567
154,CA1449/50,738,天津,海拉尔,天津,NA,NA,或B733/73G执行 执行日期0701-1029执行,7,1234567
