,flight,plane,city1,city2,city3,city4,city5,remarks,flight_account
9407,ZH9252,320,泉州,北京首都,NA,NA,NA,或739/738/319执行;同CA3810 KY9252代码共享,7
9408,ZH9273,320,北京首都,襄阳,NA,NA,NA,或739/738/319执行;同CA3329代码共享,7
9409,ZH9274,320,襄阳,北京首都,NA,NA,NA,或739/738/319执行;同CA3330代码共享,7
9410,ZH9403,320,北京首都,西安,NA,NA,NA,或739/738/319执行;同CA3636代码共享,7
9411,ZH9404,320,西安,北京首都,NA,NA,NA,或739/738/319执行;同CA3637代码共享,7
9412,ZH9407,320,北京首都,南通,NA,NA,NA,或739/738/319执行,3
9413,ZH9407,320,北京首都,南通,NA,NA,NA,或739/738/319执行,4
9414,ZH9408,320,南通,北京首都,NA,NA,NA,或739/738/319执行,7
9415,ZH9425,320,广州,沈阳,NA,NA,NA,或739/738/319执行;同CA3425 KY9425代码共享,2
9416,ZH9425,320,广州,沈阳,NA,NA,NA,或739/738/319执行;同CA3425 KY9425代码共享,5
9417,ZH9426,320,沈阳,广州,NA,NA,NA,或739/738/319执行;同CA3426 KY9426代码共享,7
9418,ZH9575,320,广州,无锡,大连,NA,NA,或739/738/319执行;同CA3395 KY9575代码共享;待航线走向批复后执行,7
9419,ZH9576,320,大连,无锡,广州,NA,NA,或739/738/319执行;同CA3396 KY9576代码共享;待航线走向批复后执行,7
9420,ZH9581,320,北京首都,宜春,深圳,NA,NA,或739/738/319执行;同CA3745 KY9581代码共享,7
9421,ZH9582,320,深圳,宜春,北京首都,NA,NA,或739/738/319执行;同CA3746 KY9582代码共享,7
9422,ZH9605,320,广州,景德镇,NA,NA,NA,或739/738/319执行;同CA3698 KY9605代码共享,4
9423,ZH9606,320,景德镇,广州,NA,NA,NA,或739/738/319执行;同CA3699 KY9606代码共享,4
9424,ZH9609,320,广州,海口,NA,NA,NA,或739/738/319执行;同CA3757 KY9609代码共享,7
9425,ZH9610,320,海口,广州,NA,NA,NA,或739/738/319执行;同CA3758 KY9610代码共享,7
9426,ZH9615,320,广州,临沂,沈阳,NA,NA,或739/738/319执行;同CA3813 KY9615代码共享,7
9427,ZH9616,320,沈阳,临沂,广州,NA,NA,或739/738/319执行;同CA3814 KY9616代码共享,7
9428,ZH9621,320,广州,南京,NA,NA,NA,或739/738/319执行;同CA3413 KY9621代码共享,7
9429,ZH9622,320,南京,广州,NA,NA,NA,或739/738/319执行;同CA3414 KY9622代码共享,7
9430,ZH9623,320,广州,昆明,NA,NA,NA,或739/738/319执行;同CA3667 KY9623代码共享,7
9431,ZH9624,320,昆明,广州,NA,NA,NA,或739/738/319执行;同CA3668 KY9624 NH6602代码共享,7
9432,ZH9627,320,广州,沈阳,NA,NA,NA,或739/738/319执行;同CA3403 KY9627代码共享,7
9433,ZH9628,320,沈阳,广州,NA,NA,NA,或739/738/319执行;同CA3404 KY9628代码共享,7
9434,ZH9633,320,广州,昆明,NA,NA,NA,或739/738/319执行;同CA3682 KY9633代码共享,1
9435,ZH9633,320,广州,昆明,NA,NA,NA,或739/738/319执行;同CA3682 KY9633代码共享,1
9436,ZH9634,320,昆明,广州,NA,NA,NA,或739/738/319执行;同CA3683 KY9634代码共享,2
9437,ZH9635,320,广州,宁波,NA,NA,NA,或739/738/319执行;同CA3397 KY9635代码共享,7
9438,ZH9636,320,宁波,广州,NA,NA,NA,或739/738/319执行;同CA3398 KY9636代码共享,7
9439,ZH9645,320,广州,昆明,NA,NA,NA,或739/738/319执行;同NH6603代码共享,7
9440,ZH9646,320,昆明,广州,NA,NA,NA,或739/738/319执行;同NH6602代码共享,7
9441,ZH9647,320,广州,台州,NA,NA,NA,或739/738/319执行;同CA3547代码共享,3
9442,ZH9648,320,台州,广州,NA,NA,NA,或739/738/319执行;同CA3548代码共享,3
9443,ZH9659,320,广州,泉州,舟山,NA,NA,或739/738/319执行;同CA3582 KY9659代码共享,7
9444,ZH9660,320,舟山,泉州,广州,NA,NA,或739/738/319执行;同CA3583 KY9660代码共享,7
9445,ZH9661,320,广州,沈阳,NA,NA,NA,或739/738/319执行;同CA3481 KY9661代码共享,1
9446,ZH9661,320,广州,沈阳,NA,NA,NA,或739/738/319执行;同CA3481 KY9661代码共享,3
9447,ZH9661,320,广州,沈阳,NA,NA,NA,或739/738/319执行;同CA3481 KY9661代码共享,3
9448,ZH9662,320,沈阳,广州,NA,NA,NA,或739/738/319执行;同CA3482 KY9662代码共享,7
9449,ZH9663,320,广州,常州,哈尔滨,NA,NA,或739/738/319执行;同CA3405 KY9663代码共享,7
9450,ZH9664,320,哈尔滨,常州,广州,NA,NA,或739/738/319执行;同CA3406 KY9664代码共享,7
9451,ZH9669,320,广州,西安,NA,NA,NA,或739/738/319执行,7
9452,ZH9670,320,西安,广州,NA,NA,NA,或739/738/319执行,7
9453,ZH9671,320,广州,哈尔滨,NA,NA,NA,或739/738/319执行;同CA3407 KY9671代码共享,7
9454,ZH9672,320,哈尔滨,广州,NA,NA,NA,或739/738/319执行;同CA3408 KY9672代码共享,7
