city1_2,flight,plane,city1,city2,city3,city4,city5,remarks,flight_account,flag
西安喀什,NA,NA,NA,NA,NA,NA,NA,NA,NA,13132
喀什西安,NA,NA,NA,NA,NA,NA,NA,NA,NA,13132
武汉临沂,NA,NA,NA,NA,NA,NA,NA,NA,NA,13133
厦门北京南苑,NA,NA,NA,NA,NA,NA,NA,NA,NA,1621
台州南昌,NA,NA,NA,NA,NA,NA,NA,NA,NA,1627
南昌台州,NA,NA,NA,NA,NA,NA,NA,NA,NA,1627
西宁贵阳,NA,NA,NA,NA,NA,NA,NA,NA,NA,13148
兰州呼和浩特,NA,NA,NA,NA,NA,NA,NA,NA,NA,7902
呼和浩特兰州,NA,NA,NA,NA,NA,NA,NA,NA,NA,7902
珠海台州,NA,NA,NA,NA,NA,NA,NA,NA,NA,7915
台州珠海,NA,NA,NA,NA,NA,NA,NA,NA,NA,7915
宁波哈尔滨,NA,NA,NA,NA,NA,NA,NA,NA,NA,1664
井冈山南宁,NA,NA,NA,NA,NA,NA,NA,NA,NA,7925
宜昌济南,NA,NA,NA,NA,NA,NA,NA,NA,NA,7945
济南宜昌,NA,NA,NA,NA,NA,NA,NA,NA,NA,7945
南京济南,NA,NA,NA,NA,NA,NA,NA,NA,NA,1699
晋江南昌,NA,NA,NA,NA,NA,NA,NA,NA,NA,1701
南昌晋江,NA,NA,NA,NA,NA,NA,NA,NA,NA,1701
重庆泉州,NA,NA,NA,NA,NA,NA,NA,NA,NA,7963
拉萨厦门,NA,NA,NA,NA,NA,NA,NA,NA,NA,20790
北京南苑襄樊,NA,NA,NA,NA,NA,NA,NA,NA,NA,1716
襄樊北京南苑,NA,NA,NA,NA,NA,NA,NA,NA,NA,1716
晋江南京,NA,NA,NA,NA,NA,NA,NA,NA,NA,1732
南京晋江,NA,NA,NA,NA,NA,NA,NA,NA,NA,1732
林芝深圳,NA,NA,NA,NA,NA,NA,NA,NA,NA,20843
天津绵阳,NA,NA,NA,NA,NA,NA,NA,NA,NA,7982
绵阳天津,NA,NA,NA,NA,NA,NA,NA,NA,NA,7982
柳州西安,NA,NA,NA,NA,NA,NA,NA,NA,NA,13308
贵阳沈阳,NA,NA,NA,NA,NA,NA,NA,NA,NA,1744
绵阳西宁,NA,NA,NA,NA,NA,NA,NA,NA,NA,13315
长沙泉州,NA,NA,NA,NA,NA,NA,NA,NA,NA,8017
海口黄山,NA,NA,NA,NA,NA,NA,NA,NA,NA,13316
西安连云港,NA,NA,NA,NA,NA,NA,NA,NA,NA,13323
淮安长沙,NA,NA,NA,NA,NA,NA,NA,NA,NA,8033
