"","city1_2","flight","plane","city1","city2","city3","city4","city5","remarks","flight_account","flag"
"16158","武汉揭阳","CZ3890","738","武汉","揭阳",NA,NA,NA,"与MF1684 MU4746代码共享",6,NA
"16159","武汉克拉玛依","CZ6287/8","738","武汉","克拉玛依",NA,NA,NA,NA,3,NA
"16160","武汉克拉玛依","CZ6287/8","738","武汉","克拉玛依",NA,NA,NA,NA,3,NA
"16199","武汉连城","HU7185/6","738","武汉","连城",NA,NA,NA,NA,3,NA
"16200","武汉连城","HU7185/6","738","武汉","连城",NA,NA,NA,NA,3,NA
"16438","西安安顺","GS7601/2","E90","西安","安顺",NA,NA,NA,NA,4,NA
"16439","西安安顺","GS7601/2","E90","西安","安顺","桂林","安顺","西安",NA,4,NA
"16481","西安毕节","GX8816","E90","西安","毕节","南宁",NA,NA,"或A320执行；与GS8816/HU8816代码共享；执行日期0327-1029执行；待航路走向批复后执行",3,NA
"16514","西安德宏","3U8611","319","西安","德宏",NA,NA,NA,NA,3,NA
"16610","西安海拉尔","GS7655","320","西安","海拉尔",NA,NA,NA,"或333/332/E90执行",7,NA
"16611","西安海拉尔","GS7605","E90","西安","海拉尔",NA,NA,NA,"或320/EM4执行",3,NA
"16649","西安花土沟","MU2355/6","319","西安","花土沟",NA,NA,NA,NA,7,NA
"16650","西安花土沟","MU2355/6","319","西安","花土沟",NA,NA,NA,NA,7,NA
"16665","西安揭阳","CZ6627","738","西安","揭阳",NA,NA,NA,"与MF4215 MU4815代码共享",4,NA
"16666","西安揭阳","CZ3890","738","西安","揭阳",NA,NA,NA,"与MF1684 MU4746代码共享",1,NA
"16667","西安揭阳","CZ3890","738","西安","揭阳",NA,NA,NA,"与MF1684 MU4746代码共享",6,NA
"16671","西安九寨","MU2367","319","西安","九寨",NA,NA,NA,"执行日期0327-1029执行",7,NA
"16672","西安九寨","3U8613","319","西安","九寨",NA,NA,NA,"或330/321/320执行",7,NA
"16673","西安九寨","MU2383","319","西安","九寨",NA,NA,NA,"执行日期0327-1029执行",7,NA
"16674","西安九寨","3U8635","319","西安","九寨",NA,NA,NA,"或330/321/320执行",7,NA
"16779","西安日照","GS7649/50","E90","西安","日照","西安",NA,NA,NA,4,NA
"16879","西安腾冲","KY8312","73G","西安","腾冲",NA,NA,NA,"与ZH3152代码共享 与CA5752代码共享。",7,NA
"16902","西安万县","MF8234","738","西安","万县","厦门",NA,NA,"或B73G/752执行 与CZ5158/NS8234代码共享",4,NA
"17167","西宁揭阳","MU2247","320","西宁","揭阳",NA,NA,NA,"执行日期0327-1029执行",7,NA
"17245","西宁榆林","G52654","CR9","西宁","榆林","大连",NA,NA,"待航线走向批复后执行",3,NA
"17246","西宁榆林","G52654","CR9","西宁","榆林","大连",NA,NA,"待航线走向批复后执行",4,NA
"17272","西双版纳安顺","GJ8880","320","西双版纳","安顺","杭州",NA,NA,"待航线走向批复后执行",3,NA
"17283","西双版纳桂林","GJ8852","320","西双版纳","桂林","杭州",NA,NA,"待航线走向批复后执行",4,NA
"17391","锡林浩特哈尔滨","G52719","CR9","锡林浩特","哈尔滨",NA,NA,NA,NA,3,NA
"17429","忻州广州","MU2488","738","忻州","广州",NA,NA,NA,"执行日期0410-1029执行 待航路走向批复后执行",7,NA
"17430","忻州广州","CZ6641/2","738","忻州","广州",NA,NA,NA,NA,3,NA
"17431","忻州广州","CZ6641/2","E90","忻州","广州",NA,NA,NA,NA,1,NA
"17432","忻州桂林","JD5314","319","忻州","桂林","海口",NA,NA,"或320/321/330执行待航线走向批复后执行",4,NA
"17433","忻州海口","JD5314","319","忻州","海口",NA,NA,NA,"或320/321/330执行待航线走向批复后执行",4,NA
"17459","徐州北戴河","HU7323","738","徐州","北戴河",NA,NA,NA,"待航路走向批复后执行",4,NA
"17546","烟台海拉尔","QW9819/20","320","烟台","海拉尔",NA,NA,NA,NA,7,NA
"17547","烟台海拉尔","QW9819/20","320","烟台","海拉尔",NA,NA,NA,NA,7,NA
"17548","烟台海拉尔","SC8869","738","烟台","海拉尔",NA,NA,NA,"或737执行；与CA8869代码共享；执行日期0601-1029",7,NA
"17549","烟台海拉尔","FU6649","738","烟台","海拉尔",NA,NA,NA,"或E190执飞 执行日期0626-0910执行 待航路走向批复后执行",7,NA
"17567","烟台兰州","MU9619/20","320","烟台","兰州","烟台",NA,NA,NA,3,NA
"17568","烟台兰州","SC4735/6","738","烟台","兰州",NA,NA,NA,NA,3,NA
"17569","烟台兰州","SC4735/6","738","烟台","兰州",NA,NA,NA,NA,3,NA
"17618","烟台西宁","SC8713/4","738","烟台","西宁",NA,NA,NA,NA,7,NA
"17619","烟台西宁","SC8713/4","738","烟台","西宁",NA,NA,NA,NA,7,NA
"17692","盐城贵阳","GY7124","E90","盐城","贵阳",NA,NA,NA,NA,4,NA
"17720","扬州桂林","GT1011/2","319","扬州","桂林",NA,NA,NA,NA,5,NA
"17751","伊宁克拉玛依","CA1234","738","伊宁","克拉玛依","北京首都",NA,NA,"待航线走向批复后执行",1,NA
"17752","伊宁克拉玛依","CA1234","738","伊宁","克拉玛依","北京首都",NA,NA,"待航线走向批复后执行",6,NA
"17753","伊宁牡丹江","MU2800","320","伊宁","牡丹江",NA,NA,NA,"执行日期0701-1029执行 待航路走向批复后执行",7,NA
"17830","宜昌南宁","GX8820","E90","宜昌","南宁",NA,NA,NA,"或A320执行；与GS8820/HU8820代码共享；执行日期0327-1029执行；待航路走向批复后执行",4,NA
"17841","宜昌天津","GX8819","E90","宜昌","天津",NA,NA,NA,"或A320执行；与GS8819/HU8819代码共享；执行日期0327-1029执行；待航路走向批复后执行",4,NA
"17870","义乌揭阳","CZ6656","738","义乌","揭阳",NA,NA,NA,"与MF4232代码共享 待航路走向批复后执行",3,NA
"17871","义乌揭阳","DZ6243","738","义乌","揭阳",NA,NA,NA,NA,7,NA
"17872","义乌揭阳","CZ6588","738","义乌","揭阳",NA,NA,NA,"与MF4190代码共享",2,NA
"17873","义乌揭阳","CZ6398","738","义乌","揭阳",NA,NA,NA,"与MF4024代码共享",7,NA
"17874","义乌揭阳","CZ6588","738","义乌","揭阳",NA,NA,NA,"与MF4190代码共享",1,NA
"17875","义乌揭阳","GS6546","E90","义乌","揭阳","海口",NA,NA,"或320/EM4执行",4,NA
"17891","银川阿拉善左旗","JR1517","MA6","银川","阿拉善左旗",NA,NA,NA,"与MU8115代号共享；待航线走向批复后执行",7,NA
"17970","银川揭阳","MU2615","320","银川","揭阳",NA,NA,NA,"执行日期0410-1029执行",1,NA
"17971","银川揭阳","MU2615","320","银川","揭阳",NA,NA,NA,"执行日期0410-1029执行",2,NA
"18107","营口北京首都","DZ6209/10","738","营口","北京首都",NA,NA,NA,NA,7,NA
"18115","永州上海虹桥","MU5807","738","永州","上海虹桥",NA,NA,NA,"执行日期0327-1029执行 或73G执行 待航路走向批复后执行",4,NA
"18163","榆林西宁","G52653","CR9","榆林","西宁",NA,NA,NA,"待航线走向批复后执行",4,NA
"18164","榆林西宁","G52653","CR9","榆林","西宁",NA,NA,NA,"待航线走向批复后执行",3,NA
"18217","湛江揭阳","GS6561","E90","湛江","揭阳",NA,NA,NA,"或320/EM4执行",4,NA
"18310","张掖成都","EU2272","319","张掖","成都",NA,NA,NA,"或A320执行。",4,NA
"18315","张掖南京","MU7829/30","320","张掖","南京",NA,NA,NA,NA,3,NA
"18317","张掖无锡","MU7839/40","320","张掖","无锡",NA,NA,NA,NA,2,NA
"18369","长春海拉尔","SC4844","738","长春","海拉尔",NA,NA,NA,NA,7,NA
"18370","长春海拉尔","SC4609","738","长春","海拉尔",NA,NA,NA,"或737执行;与CA4609代码共享；执行日期0601-1029",7,NA
"18407","长春临沂","A67114","321","长春","临沂","昆明",NA,NA,"或320执行。",7,NA
"18643","长沙海拉尔","CZ8409/10","320","长沙","海拉尔","长沙",NA,NA,NA,3,NA
"18644","长沙海拉尔","MF8291","738","长沙","海拉尔",NA,NA,NA,"或B73G/752执行 执行日期6.1-10.29执行 与CZ5203/NS8291代码共享",7,NA
"18667","长沙济宁","GX8831","E90","长沙","济宁",NA,NA,NA,"或A320执行；与GS8831/HU8831代码共享；执行日期0327-1029执行；待航路走向批复后执行",4,NA
"18668","长沙揭阳","MU2399","320","长沙","揭阳",NA,NA,NA,"执行日期0327-1029执行",3,NA
"18669","长沙揭阳","CZ3826","738","长沙","揭阳",NA,NA,NA,"与MF1626 G55050 MU4742代码共享",7,NA
"18670","长沙揭阳","OQ2353","319","长沙","揭阳",NA,NA,NA,"执行日期0327-1029执行 与CZ8153 G55195代码共享",7,NA
"18671","长沙九寨","MU5751","737","长沙","九寨",NA,NA,NA,NA,7,NA
"18737","长沙黔南州","BK2985","MA6","长沙","黔南州",NA,NA,NA,"待航路走向批复后执行",4,NA
"18972","郑州北戴河","CZ8527/8","733","郑州","北戴河",NA,NA,NA,NA,3,NA
"18973","郑州北戴河","CZ8527/8","733","郑州","北戴河",NA,NA,NA,NA,3,NA
"19081","郑州海拉尔","DZ6227","738","郑州","海拉尔",NA,NA,NA,NA,7,NA
"19082","郑州海拉尔","CZ8453/4","320","郑州","海拉尔",NA,NA,NA,NA,7,NA
"19083","郑州海拉尔","CZ8453/4","320","郑州","海拉尔",NA,NA,NA,NA,7,NA
"19084","郑州海拉尔","CZ8599","737","郑州","海拉尔",NA,NA,NA,NA,5,NA
"19127","郑州揭阳","DZ6243","738","郑州","揭阳",NA,NA,NA,NA,7,NA
"19128","郑州揭阳","CZ6556","738","郑州","揭阳",NA,NA,NA,"与MF4162代码共享",4,NA
