"","city1_2","flight","plane","city1","city2","city3","city4","city5","remarks","flight_account","flag"
"171","包头三亚","CZ6586","319","包头","三亚",NA,NA,NA,"或321/320执行",3,19313
"172","包头三亚","JD5399","319","包头","三亚",NA,NA,NA,"或320/321/330执行",7,19313
"173","包头厦门","MU2892","320","包头","厦门",NA,NA,NA,"执行日期0327-1029执行",3,21696
"174","包头厦门","MU2892","320","包头","厦门",NA,NA,NA,"执行日期0327-1029执行",4,21696
"175","包头上海虹桥","HO1058","320","包头","上海虹桥",NA,NA,NA,NA,3,53
"176","包头上海浦东","HO1058","320","包头","上海浦东",NA,NA,NA,NA,3,53
"177","包头上海浦东","FM9438","738","包头","上海浦东",NA,NA,NA,"或333/767/73G执行 执行日期0327-1029执行",1,53
"178","包头上海浦东","HO1058","320","包头","上海浦东",NA,NA,NA,NA,1,53
"179","包头上海浦东","FM9136","738","包头","上海浦东",NA,NA,NA,"或333/767/73G执行 执行日期0327-1029执行",7,53
"180","包头上海浦东","FM9438","738","包头","上海浦东",NA,NA,NA,"或333/767/73G执行 执行日期0327-1029执行",6,53
"181","包头深圳","CZ6764","320","包头","深圳",NA,NA,NA,"与MF4308 G55152 MU4824代码共享 或321/320/319执行",3,24296
"182","包头沈阳","CZ6456","319","包头","沈阳",NA,NA,NA,"与MF4076 G55123代码共享 或321/320执行",4,10547
"183","包头沈阳","CZ6496","319","包头","沈阳",NA,NA,NA,"与MF4108 G55132代码共享 或321/320执行",4,10547
"184","包头沈阳","CZ6414","319","包头","沈阳",NA,NA,NA,"与MF4038 G55109代码共享 或321/320执行",3,10547
"185","包头石家庄","CZ6648","320","包头","石家庄","长沙",NA,NA,"与MF4226 NS6648 G55146代码共享 或321执行  执行日期0412-1029执行",3,21688
"186","包头石家庄","NS3323","E90","包头","石家庄","贵阳",NA,NA,"或738/73G执行;同MF7079、CZ9884代码共享",7,21688
"187","包头石家庄","HU7156","738","包头","石家庄","杭州",NA,NA,NA,7,21688
"188","包头石家庄","CZ6648","320","包头","石家庄","长沙",NA,NA,"与MF4226 NS6648 G55146代码共享 或321执行",4,21688
"189","包头太原","SC4904","738","包头","太原","济南",NA,NA,"或737执行;与CA4904代码共享",7,6087
"190","包头天津","GS7908","EMB","包头","天津",NA,NA,NA,"或320/E90执行",1,8759
"191","包头天津","SC4644","CR7","包头","天津","青岛",NA,NA,"或737、738执行;与CA4644代码共享",3,8759
"192","包头天津","GS7908","EMB","包头","天津",NA,NA,NA,"或320/E90执行",2,8759
"193","包头乌鲁木齐","CZ6495","319","包头","乌鲁木齐",NA,NA,NA,"与MF4107 G55131代码共享 或321/320执行",4,21694
"194","包头乌鲁木齐","CZ6413","319","包头","乌鲁木齐",NA,NA,NA,"与MF4037 G55108代码共享 或321/320执行",3,21694
"195","包头武汉","CZ6208","738","包头","武汉",NA,NA,NA,"与MF1879 G55082代码共享",6,11880
"196","包头武汉","CZ6208","738","包头","武汉",NA,NA,NA,"与MF1879 G55082代码共享",1,11880
