flight,plane,city1,city2,city3,city4,city5,remarks,flight_account,city1_2
CZ6435/6,319,济南,成都,NA,NA,NA,或321执行,4,济南成都
CZ6435/6,319,济南,成都,NA,NA,NA,或321执行,4,济南成都
CZ6441/2,319,长春,济南,NA,NA,NA,或321/320执行,7,长春济南
CZ6441/2,319,长春,成都,NA,NA,NA,或321/320执行,7,长春成都
CZ6441/2,319,长春,成都,NA,NA,NA,或321/320执行,7,长春成都
CZ6441/2,319,济南,成都,NA,NA,NA,或321/320执行,7,济南成都
CZ6441/2,319,济南,成都,NA,NA,NA,或321/320执行,7,济南成都
CZ6449/50,319,大连,济南,NA,NA,NA,或321执行 执行日期0416-1029执行,1,大连济南
CZ6449/50,319,大连,兰州,NA,NA,NA,或321执行 执行日期0416-1029执行,1,大连兰州
CZ6449/50,319,大连,兰州,NA,NA,NA,或321执行 执行日期0416-1029执行,1,大连兰州
CZ6449/50,319,济南,兰州,NA,NA,NA,或321执行 执行日期0416-1029执行,1,济南兰州
CZ6449/50,319,济南,兰州,NA,NA,NA,或321执行 执行日期0416-1029执行,1,济南兰州
CZ6449/50,319,大连,济南,NA,NA,NA,或321执行,3,大连济南
CZ6449/50,319,大连,兰州,NA,NA,NA,或321执行,3,大连兰州
CZ6449/50,319,大连,兰州,NA,NA,NA,或321执行,3,大连兰州
CZ6449/50,319,济南,兰州,NA,NA,NA,或321执行,3,济南兰州
CZ6449/50,319,济南,兰州,NA,NA,NA,或321执行,3,济南兰州
CZ6451/2,319,沈阳,南京,NA,NA,NA,或321/320/M90执行,7,沈阳南京
CZ6451/2,319,沈阳,贵阳,NA,NA,NA,或321/320/M90执行,7,沈阳贵阳
CZ6451/2,319,沈阳,贵阳,NA,NA,NA,或321/320/M90执行,7,沈阳贵阳
CZ6451/2,319,南京,贵阳,NA,NA,NA,或321/320/M90执行,7,南京贵阳
CZ6451/2,319,南京,贵阳,NA,NA,NA,或321/320/M90执行,7,南京贵阳
CZ6459/60,319,长春,包头,NA,NA,NA,或321/320执行 执行日期0515-1029执行,2,长春包头
CZ6459/60,319,长春,昆明,NA,NA,NA,或321/320执行 执行日期0515-1029执行,2,长春昆明
CZ6459/60,319,长春,昆明,NA,NA,NA,或321/320执行 执行日期0515-1029执行,2,长春昆明
CZ6459/60,319,包头,昆明,NA,NA,NA,或321/320执行 执行日期0515-1029执行,2,包头昆明
CZ6459/60,319,包头,昆明,NA,NA,NA,或321/320执行 执行日期0515-1029执行,2,包头昆明
CZ6459/60,319,长春,包头,NA,NA,NA,或321/320执行 执行日期0515-1029执行,4,长春包头
CZ6459/60,319,长春,昆明,NA,NA,NA,或321/320执行 执行日期0515-1029执行,4,长春昆明
CZ6459/60,319,长春,昆明,NA,NA,NA,或321/320执行 执行日期0515-1029执行,4,长春昆明
CZ6459/60,319,包头,昆明,NA,NA,NA,或321/320执行 执行日期0515-1029执行,4,包头昆明
CZ6459/60,319,包头,昆明,NA,NA,NA,或321/320执行 执行日期0515-1029执行,4,包头昆明
CZ6467/8,319,大连,常州,NA,NA,NA,或321执行,3,大连常州
CZ6467/8,319,大连,昆明,NA,NA,NA,或321执行,3,大连昆明
CZ6467/8,319,大连,昆明,NA,NA,NA,或321执行,3,大连昆明
CZ6467/8,319,常州,昆明,NA,NA,NA,或321执行,3,常州昆明
CZ6467/8,319,常州,昆明,NA,NA,NA,或321执行,3,常州昆明
CZ6469/70,319,沈阳,太原,NA,NA,NA,或321/320/M90执行,7,沈阳太原
CZ6469/70,319,沈阳,西安,NA,NA,NA,或321/320/M90执行,7,沈阳西安
CZ6469/70,319,沈阳,西安,NA,NA,NA,或321/320/M90执行,7,沈阳西安
CZ6469/70,319,太原,西安,NA,NA,NA,或321/320/M90执行,7,太原西安
CZ6469/70,319,太原,西安,NA,NA,NA,或321/320/M90执行,7,太原西安
CZ6483/4,319,沈阳,杭州,NA,NA,NA,或321/320/M90执行,7,沈阳杭州
CZ6483/4,319,沈阳,三亚,NA,NA,NA,或321/320/M90执行,7,沈阳三亚
CZ6483/4,319,沈阳,三亚,NA,NA,NA,或321/320/M90执行,7,沈阳三亚
CZ6483/4,319,杭州,三亚,NA,NA,NA,或321/320/M90执行,7,杭州三亚
CZ6483/4,319,杭州,三亚,NA,NA,NA,或321/320/M90执行,7,杭州三亚
CZ6527/8,319,大连,青岛,NA,NA,NA,或321执行,2,大连青岛
CZ6527/8,319,大连,杭州,NA,NA,NA,或321执行,2,大连杭州
CZ6527/8,319,大连,杭州,NA,NA,NA,或321执行,2,大连杭州
CZ6527/8,319,青岛,杭州,NA,NA,NA,或321执行,2,青岛杭州
CZ6527/8,319,青岛,杭州,NA,NA,NA,或321执行,2,青岛杭州
CZ6527/8,319,大连,青岛,NA,NA,NA,或321执行,5,大连青岛
CZ6527/8,319,大连,杭州,NA,NA,NA,或321执行,5,大连杭州
CZ6527/8,319,大连,杭州,NA,NA,NA,或321执行,5,大连杭州
CZ6527/8,319,青岛,杭州,NA,NA,NA,或321执行,5,青岛杭州
CZ6527/8,319,青岛,杭州,NA,NA,NA,或321执行,5,青岛杭州
CZ6539/40,319,大连,太原,NA,NA,NA,NA,2,大连太原
CZ6539/40,319,大连,西宁,NA,NA,NA,NA,2,大连西宁
CZ6539/40,319,大连,西宁,NA,NA,NA,NA,2,大连西宁
CZ6539/40,319,太原,西宁,NA,NA,NA,NA,2,太原西宁
CZ6539/40,319,太原,西宁,NA,NA,NA,NA,2,太原西宁
CZ6539/40,319,大连,太原,NA,NA,NA,执行日期0710-0831执行,1,大连太原
CZ6539/40,319,大连,西宁,NA,NA,NA,执行日期0710-0831执行,1,大连西宁
CZ6539/40,319,大连,西宁,NA,NA,NA,执行日期0710-0831执行,1,大连西宁
CZ6539/40,319,太原,西宁,NA,NA,NA,执行日期0710-0831执行,1,太原西宁
CZ6539/40,319,太原,西宁,NA,NA,NA,执行日期0710-0831执行,1,太原西宁
CZ6539/40,319,大连,太原,NA,NA,NA,执行日期0710-0831执行,1,大连太原
CZ6539/40,319,大连,西宁,NA,NA,NA,执行日期0710-0831执行,1,大连西宁
CZ6539/40,319,大连,西宁,NA,NA,NA,执行日期0710-0831执行,1,大连西宁
CZ6539/40,319,太原,西宁,NA,NA,NA,执行日期0710-0831执行,1,太原西宁
CZ6539/40,319,太原,西宁,NA,NA,NA,执行日期0710-0831执行,1,太原西宁
CZ6545/6,319,长春,南京,NA,NA,NA,或321/320执行,7,长春南京
CZ6545/6,319,长春,厦门,NA,NA,NA,或321/320执行,7,长春厦门
CZ6545/6,319,长春,厦门,NA,NA,NA,或321/320执行,7,长春厦门
