hsp.hsp,mv10.mv10,mv20.mv20,vol10.vol10,vol20.vol20,rsi5.rsi5,rsi14.rsi14,macd.macd1,signal.macd1,macd.macd2,signal.macd2,dn,mavg,up,pctB,Direction
1331.13,1245.392,1187.2815,70.01135936,77.47077434,77.734375,84.46556838,5.104717901,3.651184766,7.936491893,5.868836559,1036.263159,1187.2815,1338.299841,0.976261688,1
1335.52,1263.371,1198.204,67.46657748,82.2997329,76.07734393,85.87173634,5.624038825,3.976523131,8.348471069,6.727799928,1037.772286,1198.204,1358.635714,0.927957778,-1
1331.2,1280.964,1210.0675,58.48595486,83.56897277,80.01734195,83.72360133,6.161468345,4.364418783,8.225839822,7.419255858,1047.161582,1210.0675,1372.973418,0.871786677,2
1366.1,1300.339,1222.442,49.98076685,87.54270919,78.96963664,87.44050412,6.729365569,4.781222275,8.300902152,7.954766924,1051.789843,1222.442,1393.094157,0.920908833,1
1373.67,1315.862,1234.905,45.63508343,90.54335987,64.89405899,87.97273383,7.3169925,5.232387151,8.580243593,8.278389706,1058.403498,1234.905,1411.406502,0.893098639,-2
1317.65,1322.466,1244.2235,39.69578321,88.89254479,43.71268657,73.30723169,7.634978926,5.684941617,8.012633697,8.293618067,1070.940029,1244.2235,1417.506971,0.71186816,-1
1308.24,1326.697,1252.7235,34.97434458,86.31533859,37.84530387,71.46585838,7.620872631,6.109036807,6.778893005,7.979702454,1084.463929,1252.7235,1420.983071,0.664972785,-1
1307.7,1331.963,1261.3895,25.72870384,82.42114455,39.16451494,69.91788563,7.359274589,6.469587595,5.779946865,7.490523862,1100.721111,1261.3895,1422.057889,0.644118268,2
1331.02,1335.439,1270.4825,22.51679642,79.36290701,31.89138963,67.75709779,7.006822492,6.728725753,4.972267285,6.824796889,1115.775713,1270.4825,1425.189287,0.695652373,2
1366.29,1336.852,1281.662,24.07230257,76.09621144,47.03757225,67.96928862,6.932892414,6.931856255,4.447751658,5.998298502,1133.323175,1281.662,1430.000825,0.785252361,1
1378.76,1341.615,1293.5035,27.3088493,71.4955287,87.71756573,67.78250591,6.647841369,7.045612093,3.631394448,5.122050652,1154.133057,1293.5035,1432.873943,0.805862915,-1
1365.45,1344.608,1303.9895,28.19246739,65.33969515,83.68861147,67.26937154,5.977139166,7.025131073,2.707991788,4.307870409,1176.618986,1303.9895,1431.360014,0.741266593,2
1402.88,1351.776,1316.37,33.09143266,58.80948062,89.07224959,66.87666202,5.600708936,6.89972478,2.666966192,3.685274274,1201.729217,1316.37,1431.010783,0.877309008,-1
1390.12,1354.178,1327.2585,35.05990993,50.28270533,76.56418554,56.95900858,5.147174039,6.65863384,2.706012861,3.232023389,1229.239462,1327.2585,1425.277538,0.820659647,1
1403.16,1357.127,1336.4945,37.99869561,46.02754124,70.71115605,63.60339943,4.817480521,6.345578462,3.01661762,2.945796582,1246.770304,1336.4945,1426.218696,0.871502355,-1
