date,open,cp
2010-3-8,3268.397,3286.178
2010-3-9,3285.62,3305.863
2010-3-10,3304.036,3279.694
2010-3-11,3282.199,3276.705
2010-3-12,3277.309,3233.126
2010-3-15,3231.216,3183.183
2010-3-16,3183.775,3204.289
2010-3-17,3214.216,3273.916
2010-3-18,3277.883,3267.555
2010-3-19,3270.978,3293.871
2010-3-22,3297.824,3302.628
2010-3-23,3305.554,3275.573
2010-3-24,3282.052,3276.669
2010-3-25,3270.39,3229.128
2010-3-26,3226.8,3275.002
2010-3-29,3295.763,3358.54
2010-3-30,3361.353,3366.708
2010-3-31,3369.193,3345.607
2010-4-1,3349.884,3391.935
2010-4-2,3400.139,3407.346
2010-4-6,3422.849,3405.145
2010-4-7,3403.088,3386.949
2010-4-8,3381.306,3346.744
2010-4-9,3348.773,3379.17
2010-4-12,3388.355,3351.478
2010-4-13,3350.726,3391.716
2010-4-14,3394.635,3403.707
2010-4-15,3407.025,3394.574
2010-4-16,3388.286,3356.332
2010-4-19,3313.499,3176.423
2010-4-20,3176.414,3173.374
2010-4-21,3178.877,3236.679
2010-4-22,3222.68,3201.541
2010-4-23,3198.784,3190.003
2010-4-26,3195.457,3171.997
2010-4-27,3163.101,3108.409
2010-4-28,3080.324,3097.353
2010-4-29,3114.941,3060.694
2010-4-30,3060.12,3067.365
2010-5-4,3005.487,3019.449
2010-5-5,2981.777,3036.394
2010-5-6,3014.907,2896.856
2010-5-7,2835.879,2836.789
2010-5-10,2842.366,2858.233
2010-5-11,2916.335,2800.817
2010-5-12,2781.708,2818.16
2010-5-13,2818.578,2886.911
2010-5-14,2865.58,2868.023
2010-5-17,2828.882,2714.715
2010-5-18,2711.407,2771.348
2010-5-19,2748.952,2762.174
2010-5-20,2739.219,2726.022
2010-5-21,2656.419,2768.791
2010-5-24,2787.751,2873.469
2010-5-25,2851.256,2813.943
2010-5-26,2814.444,2813.944
2010-5-27,2808.048,2859.979
2010-5-28,2885.857,2850.302
2010-5-31,2835.334,2773.264
2010-6-1,2755.284,2744.162
2010-6-2,2729.328,2757.527
2010-6-3,2769.096,2736.076
2010-6-4,2721.359,2744.391
2010-6-7,2692.831,2695.715
2010-6-8,2694.106,2699.336
2010-6-9,2711.642,2782.133
2010-6-10,2755.94,2750.023
2010-6-11,2766.196,2758.866
2010-6-17,2778.533,2742.733
2010-6-18,2739.032,2696.166
2010-6-21,2698.984,2780.663
2010-6-22,2772.886,2783.72
2010-6-23,2768.695,2758.495
2010-6-24,2753.712,2757.498
2010-6-25,2744.122,2736.287
2010-6-28,2734.507,2716.777
2010-6-29,2717.465,2592.019
2010-6-30,2572.912,2563.07
2010-7-1,2557.92,2526.071
2010-7-2,2523.035,2534.105
2010-7-5,2507.354,2512.651
2010-7-6,2504.869,2562.902
2010-7-7,2561.106,2580.477
2010-7-8,2591.509,2575.921
2010-7-9,2578.555,2647.104
2010-7-12,2647.42,2676.22
2010-7-13,2649.658,2634.593
2010-7-14,2640.925,2653.609
2010-7-15,2650.334,2608.519
2010-7-16,2597,2616.128
2010-7-19,2592.087,2682.472
2010-7-20,2685.459,2741.503
2010-7-21,2744.696,2747.335
2010-7-22,2738.027,2781.286
