date,op,cp
2012-11-02,2297.9,2306.77
2012-11-05,2302.74,2301.88
2012-11-06,2301.98,2292.21
2012-11-07,2288.76,2287.5
2012-11-08,2269.58,2245.41
2012-11-09,2241.76,2240.92
2012-11-12,2242.96,2251.85
2012-11-13,2250.84,2212.44
2012-11-14,2213.09,2223.11
2012-11-15,2210.75,2193.62
2012-11-16,2189.51,2177.24
2012-11-19,2175.18,2174.99
2012-11-20,2180.21,2164.88
2012-11-21,2165.41,2194.9
2012-11-22,2181.18,2177.55
2012-11-23,2184.41,2192.68
2012-11-26,2187.24,2175.6
2012-11-27,2168.59,2150.64
2012-11-28,2142.5,2129.16
2012-11-29,2128.8,2115.68
2012-11-30,2114.24,2139.66
2012-12-03,2136.7,2108.85
2012-12-04,2104.93,2131.47
2012-12-05,2128.39,2207.88
2012-12-06,2205.61,2203.6
2012-12-07,2203.89,2246.76
2012-12-10,2254.92,2271.05
2012-12-11,2263.21,2258.5
2012-12-12,2257.73,2267.77
2012-12-13,2260.6,2242.64
2012-12-14,2245.64,2355.87
2012-12-17,2359.2,2366.7
2012-12-18,2361.1,2368.12
2012-12-19,2362.8,2371.11
2012-12-20,2361.32,2384.82
2012-12-21,2386.38,2372
2012-12-24,2368.01,2381.22
2012-12-25,2373.88,2448.4
2012-12-26,2445.99,2457.62
2012-12-27,2464.78,2444.59
2012-12-28,2448.08,2480.05
2012-12-31,2485.56,2522.95
2013-01-04,2551.81,2524.41
2013-01-07,2518.05,2535.99
2013-01-08,2534.65,2525.33
2013-01-09,2518.1,2526.13
2013-01-10,2525.59,2530.57
2013-01-11,2533.5,2483.23
2013-01-14,2474.18,2577.73
2013-01-15,2579.13,2595.86
2013-01-16,2591.37,2577.09
2013-01-17,2570.71,2552.76
2013-01-18,2568.69,2595.44
2013-01-21,2605.65,2610.9
2013-01-22,2610.39,2596.9
2013-01-23,2588.2,2607.46
2013-01-24,2606.43,2582.75
2013-01-25,2580.88,2571.67
2013-01-28,2577.27,2651.86
2013-01-29,2655.38,2675.87
2013-01-30,2678.43,2688.71
2013-01-31,2690.95,2686.88
2013-02-01,2677.19,2743.32
2013-02-04,2753.69,2748.03
2013-02-05,2727.93,2771.68
2013-02-06,2771.91,2775.84
2013-02-07,2771.53,2759.87
2013-02-08,2755.65,2771.73
2013-02-18,2784.07,2737.47
2013-02-19,2735.05,2685.61
2013-02-20,2686.09,2702.64
2013-02-21,2675.74,2610.55
2013-02-22,2607.65,2596.6
2013-02-25,2607.15,2604.96
2013-02-26,2587.38,2567.6
2013-02-27,2576.05,2594.68
