,city1_2,flag,flight,flight__num,plane
3696,昆明长沙,12519,MU5438,2,320
3697,昆明长沙,12519,MU5749,4,73G
3698,长沙昆明,12519,MU5750,4,73G
3699,长沙昆明,12519,MU5751/2,2,73G
3700,昆明长沙,12519,MU5835/6,2,737
3701,天津贵阳,12521,BK2871,1,738
3702,贵阳天津,12521,BK2872,1,738
3703,天津贵阳,12521,GS6609/10,4,E90
3704,天津贵阳,12521,GS7465,2,E90
3705,贵阳天津,12521,GS7466,1,E90
3706,武汉呼和浩特,12606,CA8219,1,321
3707,呼和浩特武汉,12606,CA8220,1,321
3708,武汉呼和浩特,12606,CA8239/40,2,738
3709,武汉呼和浩特,12606,CZ6597/8,2,738
3710,呼和浩特武汉,12606,JD5311/2,2,319
3711,武汉呼和浩特,12606,ZH9853,2,738
3712,呼和浩特武汉,12606,ZH9854,1,738
3713,厦门烟台,12619,SC4885/6,10,737
3714,无锡武汉,12633,ZH9569,1,738
3715,武汉无锡,12633,ZH9570,1,738
3716,南通天津,12748,ZH9729,1,320
3717,天津南通,12748,ZH9730,1,320
3718,成都井冈山,12749,EU2735,1,319
3719,井冈山成都,12749,EU2736,1,319
3720,南京运城,12761,MU2741,1,ERJ
3721,运城南京,12761,MU2742,1,ERJ
3722,成都赣州,12772,3U8937/8,4,319
3723,昆明福州,12830,8L9973,2,73G
3724,福州昆明,12830,8L9974,2,73G
3725,昆明福州,12830,8L9979,1,73G
3726,福州昆明,12830,8L9980,2,73G
3727,昆明福州,12830,MF8437/8,2,738
3728,南宁赣州,12831,GS6529/30,2,erj
3729,天津三亚,12895,BK2831/2,4,738
3730,三亚天津,12895,BK2832,1,738
3731,天津三亚,12895,BK2835/6,4,738
3732,天津三亚,12895,CA1389/90,4,738
3733,天津三亚,12895,JD5195/6,2,319
3734,天津三亚,12895,MF8311/2,2,738
3735,黄山重庆,12930,FM9267/8,2,73G
3736,长春包头,12951,CZ6459/60,4,319
3737,丽江杭州,12974,JD5297/8,2,319
3738,重庆温州,13033,3U8935/6,2,320
3739,重庆温州,13033,CA1953/4,2,319
3740,重庆温州,13033,OQ2311/2,2,320
3741,重庆温州,13033,PN6515/6,2,319
3742,宁波南宁,13061,GS6503/4,4,EMB
3743,珠海宁波,13096,EU6823/4,2,319
3744,重庆义乌,13102,KY8027/8,4,737
3745,深圳南充,13120,CZ6969/70,8,320
3746,兰州贵阳,13123,3U8673/4,2,320
3747,张家界青岛,13141,CZ3983,2,320
3748,温州成都,13169,3U8931/2,2,319
3749,温州成都,13169,CA4509/10,4,733
3750,成都温州,13169,CA4577/8,2,752
3751,温州成都,13169,EU2767/8,4,319
3752,成都温州,13169,MU5493/4,2,73G
3753,西安桂林,13187,CA1225,1,738
3754,西安桂林,13187,CZ6375/6,2,738
3755,西安桂林,13187,HU7829,1,738
3756,桂林西安,13187,HU7830,1,738
3757,西安桂林,13187,JD5123/4,2,319
3758,西安桂林,13187,MU2307/8,2,320
3759,西安桂林,13187,MU2315,1,320
3760,桂林西安,13187,MU2316,1,320
3761,西安桂林,13187,MU2329,1,320
3762,桂林西安,13187,MU2330,1,320
3763,榆林昆明,13190,BK2879/80,2,738
3764,青岛呼和浩特,13268,SC4605/6,4,737
3765,青岛呼和浩特,13268,SC4717/8,2,CR2
3766,拉萨成都,13283,3U8507/8,2,319
3767,拉萨成都,13283,3U86507/8,2,319
3768,拉萨成都,13283,3U8657/8,2,319
3769,拉萨成都,13283,3U8695/6,4,319
3770,拉萨成都,13283,3U8697/8,2,319
3771,拉萨成都,13283,3U8901/2,2,319
3772,拉萨成都,13283,CA4111/2,4,752
3773,拉萨成都,13283,CA4401/2,2,330
3774,拉萨成都,13283,CA4403/4,4,319
3775,成都拉萨,13283,CA4405,1,319
3776,拉萨成都,13283,CA4406,1,319
3777,成都拉萨,13283,CA4409,1,319
3778,拉萨成都,13283,CA4410,1,319
3779,成都拉萨,13283,CA4417/8,4,319
3780,拉萨成都,13283,CA4441/2,2,330
3781,拉萨成都,13283,CA4445/6,4,330
3782,拉萨成都,13283,MU5473/4,2,737
3783,拉萨成都,13283,TV9803/4,4,319
3784,成都拉萨,13283,TV9807/8,4,319
3785,拉萨成都,13283,TV9809/10,2,319
